id,FalseSent,OptionA,OptionB,OptionC,label
230,Riko drops a steel cup from the desk and the cup breaks into pieces,the steel cup is already broken before dropping from the desk,the steel cup has rusted,a steel cup is strong enough to survive a single fall,C
231,Human will get eventually out of power if they are unplugged,human beings do not feed on AC power sources,human beings are manufactured by the god,"there are various sorts of human beings, some of which are solar-powered that can keep working even they are unplugged",A
232,She decided to eat more healthy foods like hamburgers,hamburgers are not healthy,hamburgers are not delicious,hamburgers contain lots of nutrition like fat,A
233,Max stays close to the campfire to keep cool,fire needs oxygen to keep burning,fire will give out warmth instead of absorbing warmth,the air near the campfire is cool,B
234,Chloe got concentrated when she was bored,she was concentrated on a boring thought,people usually become distracted when they are bored,concentration made her bored,B
235,He got a cold and laughed from time to time,catching a cold will usually make people tired instead of cough,he was more than delighted to get a cold,catching a cold will usually make people cough instead of laugh,C
236,Mark ate a big bitter cherry pie,a cherry pie should be sweet,Mark is bad at making cherry pie,a cherry pie should be big,A
237,Gloria wears a cat on her head,a hat cannot be worn on a cat's head,the cat is too heavy to be worn on her head,a cat cannot be worn on a person's head,C
238,Harry went to the barbershop to have his glasses repaired,a barbershop usually don't provide the service of repairing glasses,a barbershop usually repairs computers instead of glasses,the barbershop lacked the necessary tools to repair his glasses,A
239,Reilly is sleeping on the window,the window is open and a person cannot lay on it,a person cannot sleep on a window,the window is too cold to sleep on it,B
240,I have a desk on my lamp,the lamp is made of glass that is fragile,the lamp is of poor quality,a desk is too big to be put on a lamp,C
241,Eric stalled for a while so we ended up early,we were already late before Eric stalled,Eric is used to stalling,stalling usually results in being late,C
242,Mark called his friends with his pencil,Mark used his pencil to write down telephone numbers of his friends,calling with pencils are too slow,pencils are not used for communicating,C
243,My friend is cooking a meal on a stone,the stone is too hard to be used for cooking meals,the stone is too cold to be used for cooking meals,a stone cannot be used for heating,C
244,Riko made a cup of banana milkshake with apples and milk,"making banana milkshake needs bananas, not apples","making banana milkshake needs milk, not bananas","making banana milkshake needs shaking, not apples",A
245,My mother was preparing dinner when I woke up in the morning,you eat dinner in the evening,she was too busy to prepare dinner in the morning,I prefer dinner than breakfast in the morning,A
246,Mike drank too much wine so he feels sober now,drinking too much wine will usually make people vomiting and sober,drinking too much wine will usually not make people sober,Mike is not good at drinking wine so he feels sober,B
247,My mother went to an artist to check her teeth,the artist was having a toothache,an artist usually cannot treat teeth disease,the artist was working on artworks related to teeth health,B
248,Mike cried after hearing an interesting joke,jokes will make people happy instead of sad,jokes will usually make interesting people burst into tears,Mike felt offended hearing that interesting joke,A
249,She sharpened the pencil with an eraser,the eraser is very sharp and cannot be used to sharpen the pencil,erasers are not for sharpening pencils,she bought a pencil with an eraser,B
250,Being involved in a car accident can ease your life,car accidents will make your life harder,driving a car without being involved in accidents is easy,solving car accidents can be easy,A
251,It is dark outside because it is ten am,it is cold outside in the morning,it is bright outside in the morning,it is dark outside in the evening,B
252,Harry was relaxed because of the nightmare,he had a nightmare while he was relaxing himself,the nightmare is not terrified enough for Harry,having nightmares usually will not make people relaxed,C
253,Astrid kissed him out of pure hatred,she hated him after kissing him,kissing someone will usually not make people hate each other,people don't kiss someone they hate,C
254,His son took the school bus to go to work,school buses are not available during weekends,his son prefers school bus to taxi,school buses usually bring children back and forth to school,C
255,Throwing stones at cats is treating them nicely,hurting animals is not a nice behavior,hurting stray cats is acceptable,cats can protect themselves from being hurt by stones,A
256,Society demands reward for criminals,rewarding criminals will only make them more savage,it's acceptable to give rewards to some good crimicals,the act of catching criminals should be rewarded,A
257,He saw a car floating at sea,The car is a means of transport on land,The car is made of iron,The car is too expensive,A
