id,FalseSent,ref1,ref2,ref3
232,She ran into the closet.,"The closet is too small, not fit for racing.",Closet is too small to run in,Closets are made to hold clothing.
233,he drank paper,paper isn't a liquid,He writes on paper,Paper is not a liquid.
234,The girl was sleeping on a spoon,The spoon is too small and no one can sleep on it,Spoons are too small and hard to sleep on.,THE GIRL SLEEPING ON BED NOT SPOON
235,I typed something on the floor,You can't type something on a floor,There is no way to type on a floor,Things are typed onto paper.
236,The plane swam to Belize,Planes do not swim.,Planes do not swim,THE PLANE ONLY FLEW
237,he visited a mechanic to check his tooth pain,Mechanic does not know anything about human medicine and works with machine,Mechanics don't know anything about teeth.,People visit the dentist for tooth pain.
238,The dog goes flying three times a day.,Dogs cannot fly.,Dogs are unable to fly.,The dog cannot fly.
239,You need your passport to enter a cinema,Cinemas will never ask you to show your passport,A cinema does not check your passport,PASSPORT FOR TRAVEL
240,He didn't want to leave from inside his mailbox.,Mailboxes are too small to fit inside.,A person cannot fit inside a mailbox,People can't fit in a mailbox.
241,He unlocked the door with a shoe.,A door cannot be unlocked with a shoe.,A shoe can not unlock anything,"Shoes belong on feet, keys unlock doors."
242,He took his dog to the hairdresser for a health check-up.,Hairdressers do not perform health check-ups on animals.,Hairdresser cut hair.,"A hairdresser does not have the knowledge, education or equipment to do a health check up on a dog."
243,One of the things you do when you wake up is saying good night,Good night is said at night before you go to bed,You say good night when you go to sleep,you say good night before you go to bed
244,The children were happy seeing the monster,The children wont be happy when thet see a monster,Monsters are scary for children.,Monsters are scary for children
245,He carved the ham with a spoon.,A spoon is not sharp and couldn't cut a ham.,A spoon is an impractical tool to use when carving a ham.,A spoon is round so it can't be used for carving
246,He took his dog to the gym to take his vaccines,Gyms can't give medical care or vaccines to animals,GYM NOT SUITABLE FOR DOG,A gym is not a place where you get vaccines
247,"In the morning when I wake up, I eat dinner.","Dinner is eaten in the evening, not the morning.",dinner is in the evening only.,dinner is eaten in the evening
248,Potatos is the plural of potato,"According to Oxford, the correct form is potatoes",The correct plural form is potatoes,"Potatoes is the plural of potato, not misspelled potatos."
249,I found a soap on a table.,A soap should be in a soap dish.,table is not place for soap,soap belongs into the bathroom
250,Something you might do while driving your car is fly a plane,You can't fly a plane if you're driving a car,People cannot drive and fly at the same time.,Planes are not driven by cars
251,People went to restaurant to pray,Restaurant is a place to eat and no one prays there,RESTAURANT IS A PLACE OF EATING,"While you could pray at a restaurant, it is not typically a place where people go to do so.  You go to a restaurant toeat."
252,He called the banker to complain about the robbery,Banker does not investigate about crime,A banker can does not handle complaints about a robbery,The banker would be the one getting robbed
253,Curtains let more light into the room.,Curtains are a physical barrier for the light.,Curtains block light from the room,Curtains are designed to shield you from light
254,He sent a text message in lunch box,Lunch box is to store and carry food,You can't text through a lunch box,Test messages require an electric signal which lunch boxes don't provide.
255,An stove is where people sit and relax,No one sits and relaxes on stove,There is no place to sit and relax a a stove.,A stove is for cooking
256,The defendant sentenced the jury to death.,Defendant's don't decide what happens to the jury.,The defendant is not the one who does the sentencing.,"In court, it is the jury, not the defendant, that decides the outcome of the trial"
257,He drinks petrol every morning,It is dangerous to drink petrol,NO ONE DRINK PETROL,No person drinks petrol.
258,James read the last page of the book and proceeded to eat it.,You cannot eat a book.,You cannot eat books,James would not eat paper.
259,She drove her car around the supermarket to collect groceries,You cannot access a supermarket in a car.,You cannot drive a car in a supermarket.,Supermarkets are not big enough for cars to drive inside.
260,You can buy pictures in a museum,Museums are meant to be visited by the public just for seeing not buying,A museum doesn't have pictures for sale,Museums are not stores to buy things
261,He packed his clothes in a pen,Pen is too small to hold clothes,A pen is far too small to put clothing inside it.,Clothing doesn't go in a pen
262,She put her shirt on her feet,"Shirts are worn on the torso, not on feet",Shirts are typically not worn this way.,SHIRT IS TO WEAR IN UPPER BODY
263,He bought plate to cook food,No one can cook plate for food,"Plates cannot be cooked, they are for serving food.",Plates cannot be cooked
264,I want to play football on my guitar,A guitar is for playing music,Football is played on a field or in a video game.,Play football is only on playground.
265,The student called his professors notes.,You can't make a phone call to written words.,You call people on the phone.,He copied the notes.
266,Mobiles are used to cleaning,Mobile is a communicating device,Mobiles do not have any cleaning capabilities.,Mobiles do not clean.
267,A bed is used for watching television,A bed is an object specifically used for sleeping,tvs are often in the lounge and a bed is not,A BED IS USED FOR SLEEPING PURPOSE
268,My friend drank sand in a glass.,No one drinks sand like liquid.,You cannot drink sand,Sand is not a liquid
269,She put a pie in the bathtub.,You cannot bake a pie in the bathtub.,A pie does not belong in a bathtub,The bathtub is for washing up.
270,She was eating shoe,No one eats shoe,Shoes cannot be eaten,shoe for wear on feet
271,She got into the bathtub to sleep.,No one sleeps in a bathtub.,Bathtubs aren't for sleeping,You can't sleep in bathtubs
272,She put a gorilla in the oven.,A gorilla is to large to fit into an oven.,A gorilla doesn't fit in the oven,A gorilla wouldn't fit in the oven.
273,Sunscreen is used during a rainy day.,Suncreen is used during a Sunny day.,You do not need to be protected by the sun when it is not out.,You do not get sunburn when it rains
274,we can have a shower in the kitchen,shower will be done only in the bath room,The water from a shower would ruin the kitchen.,There is no shower in the kitchen.
