id,FalseSent,ref1,ref2,ref3
219,the solar system is located in Earth,Earth is a planet of the solar system,"Earth is not a solar system, it is part of it.","While Earth is only the fifth largest planet in the solar system, it is the only world in our solar system with liquid water on the surface. Just slightly larger than nearby Venus, Earth is the biggest of the four planets closest to the Sun, all of which are made of rock and metal"
220,"When you smile at others, they will cry to you",people usually smile back at someone who smiles at them,"Smiling conveys happiness to other people, and happiness is often reciprocated.",A smile and a cry are two clear opposites and does not work together as a smile is always returned with a sile and not a cry.
221,"His favorite color is purple, the same color as the sky","the sky is blue, not purple",The sky isn't purple.,Purple is not sky color.
222,Jenny ordered a hot dog in a pet store,the hot dog is a kind of food served in a restaurant,a pet store don't sell hot dogs,Pet stores don't sell hot dogs.
223,I dried my hair before using shampoo,"when you use shampoo, you wet your hair first",I did not dried my hair before using shampoo,after watering my hair using only shampoo
224,The man in black cured him with a bullet,a bullet is used to shoot someone to death,Nobody can be cured with a bullet,
225,She boiled the egg and the egg turned into liquid,the egg will solidify after boiled,after boiling an egg it turns hard,A boiled egg is solid.
226,Elisa was terrified bitten by a book,a book cannot bite,becausre she is lazy,A book is a non living thing and does not have a teeth and cannot bite.
227,"In the dark, I turn off the light to read a book",it makes reading much harder to turn off the light in the dark,"In the bright, I turn off the light to read a book","In the dark, I turn on the light to read a book"
228,Atlantic is the biggest continent in the world,Atlantic is an ocean instead of a continent,"The Atlantic is an ocean, not a continent.",Atlantic isn't a continent.
229,"The cat is sitting on the blanket, because she is warm",a cat is warm has nothing to do with whether she sits on the blanket,A blanket is used when it is too cold.,"cat sits on a blanket whe she is cold""HITId"
230,Riko drops a steel cup from the desk and the cup breaks into pieces,a steel cup is strong enough to survive a single fall,Usually a cup don't made by steel.,Riko  is not a drops a steel cup from the desk and the cup breaks into pieces
231,Human will get eventually out of power if they are unplugged,human beings do not feed on AC power sources,Human can not be plugged,HUMANS CAN'T BE PLUGGED THEN HOW THE BE OUT OF POWER
232,She decided to eat more healthy foods like hamburgers,hamburgers are not healthy,burgers are not healthy food,Hamburgers are not considered healthy food.
233,Max stays close to the campfire to keep cool,fire will give out warmth instead of absorbing warmth,campfires are hot so would not keep Max cool,Being close to a campfire would make you warm because fire is hot.
234,Chloe got concentrated when she was bored,people usually become distracted when they are bored,Chloe get  concentrated when she was bored,"Boredom inspires restlessness, not concetration."
235,He got a cold and laughed from time to time,catching a cold will usually make people cough instead of laugh,"If he had a cold, he probably felt terrible and wouldn't be laughing about it much",he's sick not cold hearted
236,Mark ate a big bitter cherry pie,a cherry pie should be sweet,cherry pies are sweet,There's no bitter cherry pie.
237,Gloria wears a cat on her head,a cat cannot be worn on a person's head,a cat cannot be worn as a cap,"A cat is not a cap to wear on head, its an animal"
238,Harry went to the barbershop to have his glasses repaired,a barbershop usually don't provide the service of repairing glasses,Barbershop do not repair glasses.,BARBERSHOP IS ONLY USE FOR HAIR CUT NOR FOR GLASSES REPAIR
239,Reilly is sleeping on the window,a person cannot sleep on a window,Because she went in the train,Reilly is on the window sleeping
240,I have a desk on my lamp,a desk is too big to be put on a lamp,A desk would most likely crush a lamp.,DESK IS BIGGER THAN LAMP
241,Eric stalled for a while so we ended up early,stalling usually results in being late,"Stalling makes a person late, not early.","Stalling wastes time, so would have made them late not early"
242,Mark called his friends with his pencil,pencils are not used for communicating,Pencils do not make phone calls.,we can use pencil for writing only
243,My friend is cooking a meal on a stone,a stone cannot be used for heating,MY FRIEND IS NOT A COOKING A MEAL ON A STONE.,a stone is not hot so can't cook food
244,Riko made a cup of banana milkshake with apples and milk,"making banana milkshake needs bananas, not apples",riko did not cup of banana milkshake,Apples and bananas are different fruits.
245,My mother was preparing dinner when I woke up in the morning,you eat dinner in the evening,Dinner is a night food,My mother was preparing BREAKFAST when I woke up in the morning
246,Mike drank too much wine so he feels sober now,drinking too much wine will usually not make people sober,IF HE DRANK MEANS HE CANT FEEL SOBER,"WINE HAS ALCOHOL, AND ALCOHOL DOES NOT LEAVE SOBER"
247,My mother went to an artist to check her teeth,an artist usually cannot treat teeth disease,Artists do not take care of people's teeth.,Teeth are fixed by dentists
248,Mike cried after hearing an interesting joke,jokes will make people happy instead of sad,Mike cried after hearing an interesting joke,MIKE SMILED AFTER HEARING AN INTERESTING JOKE
